program_id,university,faculty,program,ouac_code,supplemental_application,prereq_raw,prereq_groups,prereq_unparsed,min_req_raw,min_req_overall,min_req_all_prereqs,min_req_courses,min_req_parsed,avg_gpa_raw,avg_gpa_low,avg_gpa_high,avg_gpa_coop_low,avg_gpa_coop_high,avg_gpa_has_note
1,University of Toronto St.George,Faculty of Arts & Science,Computer Science,TAD,True,"ENG4U, MHF4U, MCV4U","[{""n"": 1, ""options"": [""ENG4U""]}, {""n"": 1, ""options"": [""MHF4U""]}, {""n"": 1, ""options"": [""MCV4U""]}]",[],,,,[],False,low 90s,90.0,93.0,,,False
2,University of Toronto St.George,Faculty of Arts & Science,Rotman Commerce,TAC,True,"ENG4U, MHF4U, MCV4U","[{""n"": 1, ""options"": [""ENG4U""]}, {""n"": 1, ""options"": [""MHF4U""]}, {""n"": 1, ""options"": [""MCV4U""]}]",[],360,,,[],False,mid to high 80s,84.0,89.0,,,False
3,University of Toronto St.George,Faculty of Arts & Science,Social Sciences,TAX,False,ENG4U,"[{""n"": 1, ""options"": [""ENG4U""]}]",[],,,,[],False,mid to high 80s,84.0,89.0,,,False
4,University of Toronto St.George,Faculty of Arts & Science,Life Sciences (including Psychology),TLG,False,"ENG4U, MCV4U","[{""n"": 1, ""options"": [""ENG4U""]}, {""n"": 1, ""options"": [""MCV4U""]}]",[],,,,[],False,mid to high 80s,84.0,89.0,,,False
5,University of Toronto St.George,Faculty of Arts & Science,Humanities (Arts),TAH,False,ENG4U,"[{""n"": 1, ""options"": [""ENG4U""]}]",[],,,,[],False,low to mid 80s,80.0,86.0,,,False
6,University of Toronto St.George,Faculty of Arts & Science,Physical & Mathematical Sciences,TPG,False,"ENG4U, MCV4U","[{""n"": 1, ""options"": [""ENG4U""]}, {""n"": 1, ""options"": [""MCV4U""]}]",[],,,,[],False,mid to high 80s,84.0,89.0,,,False
7,University of Toronto St.George,Faculty of Applied Science and Engineering,Engineering Science (including PEY Co-op option),TK,True,"ENG4U, MHF4U, MCV4U, SCH4U, SPH4U","[{""n"": 1, ""options"": [""ENG4U""]}, {""n"": 1, ""options"": [""MHF4U""]}, {""n"": 1, ""options"": [""MCV4U""]}, {""n"": 1, ""options"": [""SCH4U""]}, {""n"": 1, ""options"": [""SPH4U""]}]",[],,,,[],False,low to mid 90s,90.0,96.0,,,False
8,University of Toronto St.George,Faculty of Applied Science and Engineering,Chemical Engineering (including PEY Co-op option),TB,True,"ENG4U, MHF4U, MCV4U, SCH4U, SPH4U","[{""n"": 1, ""options"": [""ENG4U""]}, {""n"": 1, ""options"": [""MHF4U""]}, {""n"": 1, ""options"": [""MCV4U""]}, {""n"": 1, ""options"": [""SCH4U""]}, {""n"": 1, ""options"": [""SPH4U""]}]",[],,,,[],False,high 80s to low 90s,87.0,93.0,,,False
9,University of Toronto St.George,Faculty of Applied Science and Engineering,Civil Engineering (including PEY Co-op option),TV,True,"ENG4U, MHF4U, MCV4U, SCH4U, SPH4U","[{""n"": 1, ""options"": [""ENG4U""]}, {""n"": 1, ""options"": [""MHF4U""]}, {""n"": 1, ""options"": [""MCV4U""]}, {""n"": 1, ""options"": [""SCH4U""]}, {""n"": 1, ""options"": [""SPH4U""]}]",[],,,,[],False,high 80s to low 90s,87.0,93.0,,,False
10,University of Toronto St.George,Faculty of Applied Science and Engineering,Mechanical Engineering (including PEY Co-op option),TM,True,"ENG4U, MHF4U, MCV4U, SCH4U, SPH4U","[{""n"": 1, ""options"": [""ENG4U""]}, {""n"": 1, ""options"": [""MHF4U""]}, {""n"": 1, ""options"": [""MCV4U""]}, {""n"": 1, ""options"": [""SCH4U""]}, {""n"": 1, ""options"": [""SPH4U""]}]",[],,,,[],False,high 80s to low 90s,87.0,93.0,,,False
11,University of Toronto St.George,Faculty of Applied Science and Engineering,"TrackOne, Undeclared Engineering (including PEY Co-op option)",TEO,True,"ENG4U, MHF4U, MCV4U, SCH4U, SPH4U","[{""n"": 1, ""options"": [""ENG4U""]}, {""n"": 1, ""options"": [""MHF4U""]}, {""n"": 1, ""options"": [""MCV4U""]}, {""n"": 1, ""options"": [""SCH4U""]}, {""n"": 1, ""options"": [""SPH4U""]}]",[],,,,[],False,low to mid 90s,90.0,96.0,,,False
12,University of Toronto St.George,Faculty of Applied Science and Engineering,Computer Engineering (including PEY Co-op option),TCS,True,"ENG4U, MHF4U, MCV4U, SCH4U, SPH4U","[{""n"": 1, ""options"": [""ENG4U""]}, {""n"": 1, ""options"": [""MHF4U""]}, {""n"": 1, ""options"": [""MCV4U""]}, {""n"": 1, ""options"": [""SCH4U""]}, {""n"": 1, ""options"": [""SPH4U""]}]",[],,,,[],False,low to mid 90s,90.0,96.0,,,False
13,University of Toronto St.George,Faculty of Applied Science and Engineering,Electrical Engineering (including PEY Co-op option),TE,True,"ENG4U, MHF4U, MCV4U, SCH4U, SPH4U","[{""n"": 1, ""options"": [""ENG4U""]}, {""n"": 1, ""options"": [""MHF4U""]}, {""n"": 1, ""options"": [""MCV4U""]}, {""n"": 1, ""options"": [""SCH4U""]}, {""n"": 1, ""options"": [""SPH4U""]}]",[],,,,[],False,low to mid 90s,90.0,96.0,,,False
